"UniqueKey","DateSurvey","UniqueCode","Consent","PreviousDC","PreviousBassCoastDC","Female","Male","Nonbinary","Trans","Gender_Unknown","Belief_MDMA_a","Belief_MDA_a","Belief_Ketamine_a","Belief_Cocaine_a","Belief_Methamphetamine_a","Belief_LSD_a","Belief_Unknown_a","Belief_Other_a","Belief_Other_detail_a","Type_Powder_s1","Type_Crystal_s1","Type_Blotter_s1","Type_PressTab_s1","Type_Liquid_s1","Type_Gummy_s1","Type_Other_s1","Type_Other_detail_s1","Type_Colour_s1","Testing_Self","Testing_Friends","Testing_Friends_num","Testing_Clients","Testing_Other","Testing_Other_detail","Obtained","Benzos_results","Benzo_Comments","LSD_result","Colorimetric_Comments","Ehrlich_result","FTS_results","FTS_Comments","FTIR_completion","FTIR_initials","FTIR_result_a1","FTIR_result_a2","FTIR_result_a3","FTIR_result_a4","FTIR_result_7_detail1","FTIR_result_7_detail2","FTIR_result_7_detail3","FTIR_result_7_detail4","FTIR_Comment","Surprised1","Surprised_detail","Satisfaction","Improvement","Intention_Nochange_a","Intention_More_a","Intention_Less_a","Intention_Dispose_a","Intention_Friend_a","Intention_Change_a","Intention_Naloxone_a","Intention_Other_a","Intention_Other_detail_a","Discarded","Initials","Final_comments","FTIR_result_MDMA_a1","FTIR_result_MDA_a1","FTIR_result_Ketamine_a1","FTIR_result_Cocaine_a1","FTIR_result_Methamphetamine_a1","FTIR_result_LSD_a1","FTIR_result_Unknown_a1","FTIR_result_Other_a1","match","Gender","count_substance","combinations","Intention_count","Intention_group","Behaviour_change","Type_count","Type","FTIR_result_MDMA_2","FTIR_result_MDA_2","FTIR_result_Ketamine_2","FTIR_result_Methamphetamine_2","FTIR_result_LSD_2","FTIR_result_Unknown_2","FTIR_result_Other_2","FTIR_result_Cocaine_2","match2","combo_name","cluster","match3","cluster1","mcluster","Intention","count_blf_substance","combinations_belief","combo_name_belief"
41,2019-07-13,3797,0,"1",NA,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"tan",0,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ML",1,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",0,1,1,1,1,1,1,1,"Match","Male",1,"0, 1, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Crystal",0,1,1,1,1,1,1,1,"Match","MDMA",3,"Match",3,5,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
496,2019-07-13,3798,0,"0",1,1,0,1,1,1,1,1,1,1,1,1,1,0,"""ecsatsy tab""",1,1,1,0,1,1,1,NA,"blue",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",7,7,7,NA,"BZP","TFMPP","microcrystalline cellulose",NA,"-","1","-",0,"-",1,1,1,1,1,1,1,0,"do more research, probably won't use","1","DL","-",1,1,1,1,1,1,1,0,"Match","Male",1,"1, 1, 1, 1, 1, 1, 1, 0",1,"No Change","Behaviour Change",1,"PressTab",1,1,1,1,1,1,0,1,"Match","Unknown",6,"Match",1,7,"Other",1,"1, 1, 1, 1, 1, 1, 1, 0","Unknown"
495,2019-07-13,3799,0,"0",1,1,0,1,1,1,1,1,1,1,1,1,0,0,"""ecstasy"" unknown drug",1,1,1,0,1,1,1,NA,"green",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",7,7,7,NA,"BZP","TFMPP","microcrystalline cellulose",NA,"-","1","-",0,"-",1,1,1,1,1,1,1,0,"do research, probably won't use","1","DL","sold as ""ecstasy tab""",1,1,1,1,1,1,1,0,"No Match","Male",1,"1, 1, 1, 1, 1, 1, 1, 0",1,"No Change","Behaviour Change",1,"PressTab",1,1,1,1,1,1,0,1,"No Match","Unknown",1,"Match",7,9,"Other",2,"1, 1, 1, 1, 1, 1, 0, 0","Other, Unknown"
505,2019-07-13,3800,0,"0",1,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",2,NA,NA,NA,NA,NA,NA,NA,"-","0","tried didn't feel like MDMA",0,"free beer",0,1,1,1,0,1,1,1,NA,"1","DL","-",1,0,1,1,1,1,1,1,"No Match","Male",1,"1, 0, 1, 1, 1, 1, 1, 1",2,"Harm Reduction","No Change",1,"Crystal",1,0,1,1,1,1,1,1,"No Match","MDA",1,"No Match",7,9,"Friend",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
37,2019-07-13,3801,0,"0",1,1,0,1,1,1,1,0,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,1,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ML",2,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","CJ","-",1,0,1,1,1,1,1,1,"Match","Male",1,"1, 0, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,0,1,1,1,1,1,1,"Match","MDA",3,"Match",3,5,"No Change",0,"1, 1, 1, 1, 1, 1, 1, 1",NA
504,NA,3802,0,"1",NA,0,1,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",1,1,NA,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ST",4,7,NA,NA,NA,"mannitol",NA,NA,"~25% mannitol","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","ek: date and question re: primarily testing was not recorded on paper form",1,1,1,0,1,1,1,0,"No Match","Female",2,"1, 1, 1, 0, 1, 1, 1, 0",1,"No Change","No Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","Cocaine, Unknown",8,"Match",4,4,"No Change",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
531,2019-07-13,3803,0,"1",NA,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white",0,0,3,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"JE",3,NA,NA,NA,NA,NA,NA,NA,"-","0","no cuts",0,"-",0,1,1,1,1,1,1,1,NA,"1",NA,"ek: HR volunteer initials not recorded on paper form",1,1,0,1,1,1,1,1,"Match","Female",1,"1, 1, 0, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Crystal",1,1,0,1,1,1,1,1,"Match","Ketamine",8,"Match",4,6,"No Change",1,"1, 1, 0, 1, 1, 1, 1, 1","Ketamine"
530,2019-07-13,3804,0,"1",NA,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",1,0,1,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"JE",1,NA,NA,NA,NA,NA,NA,NA,"-","0","positive suprise (clean)",0,"-",0,1,0,1,1,1,1,1,NA,"1",NA,"ek: HR volunteer initials not recorded on paper form",0,1,1,1,1,1,1,1,"Match","Female",1,"0, 1, 1, 1, 1, 1, 1, 1",2,"Harm Reduction","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA",4,"Match",5,2,"Take Less",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
506,2019-07-13,3805,0,"0",1,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,3,"declined",0,"ST",1,7,NA,NA,NA,"mannitol",NA,NA,"20% mannitol","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"0","ST","-",0,1,1,1,1,1,1,0,"No Match","Male",2,"0, 1, 1, 1, 1, 1, 1, 0",1,"No Change","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA, Unknown",3,"Match",3,3,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
45,2019-07-13,3806,0,"0",1,0,1,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,1,0,1,1,NA,"clear",0,1,NA,1,1,NA,"Offsite",3,"-",0,"-",3,3,"-",0,"JE",7,NA,NA,NA,"water",NA,NA,NA,"-","0","expecting non LSD components",0,"-",1,1,1,1,1,0,1,1,NA,"1","-","-",1,1,1,1,1,0,1,0,"No Match","Female",1,"1, 1, 1, 1, 1, 1, 1, 0",1,"Harm Reduction","Behaviour Change",1,"Liquid",1,1,1,1,1,1,0,1,"Match","Unknown, LSD",7,"No Match",8,2,"Change in Consumption",1,"1, 1, 1, 1, 1, 0, 1, 1","LSD"
529,2019-07-13,3807,0,"1",NA,0,1,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,2,1,1,NA,"Ground",3,"-",3,"-",3,1,"-",0,"ST",4,7,NA,NA,NA,"benzocaine",NA,NA,"75% cocaine; 25% benzocaine","0","learned something",0,"-",1,1,1,1,1,1,1,0,"give to friend who uses cocaine","1","ST","-",1,1,1,0,1,1,1,0,"No Match","Female",2,"1, 1, 1, 0, 1, 1, 1, 0",1,"No Change","Behaviour Change",1,"Powder",1,1,1,1,1,1,1,0,"Match","Cocaine, Unknown",4,"Match",5,2,"Other",1,"1, 1, 1, 0, 1, 1, 1, 1","Cocaine"
46,2019-07-13,3808,0,"0",0,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,1,NA,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",1,7,NA,NA,NA,"mannitol",NA,NA,"-","0","the purity level",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",0,1,1,1,1,1,1,0,"No Match","Male",2,"0, 1, 1, 1, 1, 1, 1, 0",1,"No Change","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA, Unknown",3,"Match",3,9,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
500,2019-07-13,3809,0,"0",1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"brown",0,0,2,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"ST",1,NA,NA,NA,NA,NA,NA,NA,"-","0","post-use felt like MDA",0,"-",0,1,1,1,0,1,1,1,NA,"1","DL","-",0,1,1,1,1,1,1,1,"Match","Female",1,"0, 1, 1, 1, 1, 1, 1, 1",2,"Harm Reduction","No Change",1,"Powder",0,1,1,1,1,1,1,1,"Match","MDMA",4,"Match",5,2,"Friend",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
503,2019-07-13,3810,0,"1",NA,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,NA,"white",0,0,1,1,1,NA,"Onsite",3,"-",3,"-",3,1,"-",0,"ST",2,NA,NA,NA,NA,NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","DL","forgot if MDA or MDMA (pre-test)",1,0,1,1,1,1,1,1,"No Match","Female",1,"1, 0, 1, 1, 1, 1, 1, 1",1,"No Change","No Change",1,"Powder",1,0,1,1,1,1,1,1,"No Match","MDA",4,"No Match",5,2,"No Change",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
52,2019-07-13,3811,0,"0",1,1,0,1,1,1,1,1,1,1,1,1,1,0,"GHB",1,1,1,1,0,1,1,NA,"yellow",0,0,15,1,1,NA,"Onsite",3,"-",3,"-",3,3,"-",0,"JE",7,NA,NA,NA,"GHB",NA,NA,NA,"-","1","-",0,"-",0,1,1,1,1,1,1,1,NA,"1","-","-",1,1,1,1,1,1,1,0,"Match","Male",1,"1, 1, 1, 1, 1, 1, 1, 0",1,"No Change","No Change",1,"Liquid",1,1,1,1,1,1,0,1,"Match","Unknown",3,"Match",3,5,"No Change",1,"1, 1, 1, 1, 1, 1, 1, 0","Unknown"
57,2019-07-13,3812,0,"1",NA,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,NA,"white/purple",0,0,5,1,1,NA,"Offsite",3,"-",3,"-",3,1,"-",0,"JE",1,7,NA,NA,NA,"mannitol or sugar",NA,NA,"-","1","-",0,"-",0,1,1,1,0,1,1,1,NA,"1","-","-",0,1,1,1,1,1,1,0,"No Match","Male",2,"0, 1, 1, 1, 1, 1, 1, 0",2,"Harm Reduction","No Change",1,"Crystal",0,1,1,1,1,1,1,1,"Match","MDMA, Unknown",6,"Match",1,7,"Friend",2,"0, 0, 1, 1, 1, 1, 1, 1","MDMA, MDA"
