UniqueKey,Date_Test,TesterInitial,Bck_Consent,Bck_UsedService,Bck_Test_Self,Bck_Test_Friends,Bck_Test_Others,Bck_Test_Unk,Bck_Gender,Bck_SubstanceType,Bck_Description,Bck_Sub_Onsite,Bck_Sub_Offsite,Bck_Sub_GroundFind,Bck_Sub_Medical,Bck_Sub_Security,Bck_Sub_Online,Bck_Belief,Bck_Belief_Other,Raman_Consent,Raman_Result_1,Raman_Result_1_clean,Raman_Result_1_Other,Raman_Result_1_Other_clean,Raman_Result_2,Raman_Result_2_clean,Raman_Result_2_Other,Raman_Result_2_Other_clean,Raman_Result_3,Raman_Result_3_clean,Raman_Result_3_Other,Raman_Result_3_Other_clean,Raman_Result_4,Raman_Result_4_clean,Raman_Result_4_Other,Raman_Result_4_Other_clean,MachineCode,Howmany,Fentanyl_Conset,FTIR,Raman,Comments,Positive,Negative,UniqueCode,Color_Consent,Color_Result,Color_Result_2C,Color_Result_Other,Discard_YesMass_Before,Wereyousurprisedbythisresult,Areyousatisfiedwiththedrugcheckingprocess,Basedontheresultwhatwillyoudowithyourdrug,Mass_Comments,Data Entry
13,2017-08-07,MR,0,2,Yes,No,No,No,0,0,Off white,No,Yes,No,No,No,No,0,,Yes,MDA,MDA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3378,No,,,,1,0,0,3,This drug was bought off the internet.,Carmen
14,2017-08-07,HR,0,0,Yes,Yes,No,No,0,6,Brown Solid Mass,No,Yes,No,No,No,No,0,,No,,,,,,,,,,,,,,,,,4,,Yes,No,No,MDA - low confidence # of MD from components,No,Yes,3261,No,,,,1,1,0,7,This drug was a solid mass bought from Vancouver. Under the other with what will you do with this drug the person said more education.,Carmen
15,2017-08-07,MM,0,2,Yes,No,No,No,0,0,Blue baggy with a medical symbol,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3619,No,,,,1,1,0,0,Bought in Toronto,Carmen
16,2017-08-07,MM,0,2,Yes,No,No,No,0,0,Red lips (bag),Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3390,No,,,,1,1,0,1,,Carmen
17,2017-08-07,MM,0,0,Yes,No,No,No,0,0,Black Baggy,No,Yes,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3620,No,,,,1,1,0,0,Bought in Edmonton,Carmen
18,2017-08-07,MM,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,3,,Yes,COCAINE HCL,COCAINE,,,CARBOHYDRATE,OTHER,,CARBOHYDRATES,,,,,,,,,2,,No,Yes,No,"Tested previously wiht Fentanyl dipstick (test numbers 3631 & 3399). Claims they cut with inositol, but cannot find.",No,No,3634,No,,,,1,0,0,0,Client says they cut the cocaine themselves with 40% inositol.,Carmen
19,2017-08-07,MM,0,2,Yes,Yes,No,No,0,0,Clear bag with green aliens,Yes,No,No,No,No,No,0,,Yes,CRYSTAL MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3623,No,,,,1,1,0,0,,Carmen
20,2017-08-07,MM,0,1,Yes,No,No,No,0,1,,No,Yes,No,No,No,No,0,,Yes,CRYSTAL MDMA,MDMA,,,,,,,,,,,,,,,2,,No,Yes,No,,No,No,3614,No,,,,1,1,0,0,Got drug at Calgary at a different music festival.,Carmen
21,2017-08-07,MM,0,2,Yes,No,No,No,1,0,,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3534,No,,,,1,1,0,0,,Carmen
22,2017-08-07,MM,0,0,Yes,No,No,No,0,0,Red baggy,No,Yes,No,No,No,No,3,,Yes,COCAINE HCL,COCAINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3622,No,,,,1,1,0,0,Drug bought in Edmonton,Carmen
23,2017-08-07,MM,0,0,Yes,No,No,No,0,0,Clear blue baggy,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3612,No,,,,1,1,0,0,Bought in the backing river campground.,Carmen
24,2017-08-07,MM,0,1,Yes,No,No,No,0,1,,No,Yes,No,No,No,No,0,,Yes,CRYSTAL MDMA,MDMA,,,,,,,,,,,,,,,2,,No,Yes,No,,No,No,3613,No,,,,1,1,0,0,Bought in Calgary,Carmen
25,2017-08-07,JE,0,2,Yes,No,No,No,0,0,Brown Crystals,Yes,No,No,No,No,No,0,,Yes,MDA,MDA,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts detected.,No,Yes,3382,No,,,,1,1,0,5,,Carmen
26,,DF,0,2,Yes,No,No,No,0,0,Type is also listed as Gel-cap.,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts detected.,No,Yes,3391,No,,,,1,1,1,0,"Person stated "" I have lost a lot of people to overdoses"" ""Thank you!"". They also intend to start small and go from there.",Carmen
27,2017-08-07,IG,0,0,Yes,No,No,No,0,0,Believe it is mescaline culphate.,No,Yes,No,No,No,No,10,Mescaline culphate,Yes,MESCALINE,OTHER,,MESCALINE,,,,,,,,,,,,,3,,No,Yes,No,,No,No,3527,No,,,,1,1,0,0,,Carmen
28,2017-08-07,MM,0,0,Yes,No,No,No,0,0,Blue baggy,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,No,3621,No,,,,1,1,0,0,Drug purchased in Edmonton. Results of Fentanyl test not marked down on sheet.,Carmen
29,2017-08-07,DF,0,2,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts detected,No,Yes,3396,No,,,,1,1,0,0,Drug was bought in Vancouver.,Carmen
30,2017-08-07,DF,0,2,Yes,No,No,No,0,0,Thinks drug may be DOX,No,Yes,No,No,No,No,6,,Yes,2CB,OTHER,,2Cx,,,,,,,,,,,,,4,,No,Yes,No,,No,No,3380,No,,,,1,1,0,2,,Carmen
31,2017-08-07,DF,0,0,Yes,No,No,No,0,0,Red baggy with skulls,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts detected.,No,Yes,3393,No,,,,1,1,0,0,Will be starting small.,Carmen
32,2017-08-07,MW,0,0,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,2,MDA,,,7,OTHER,MDEA OR MDMA LIKE SUBSTANCE,MDEA OR MDMA LIKE SUBSTANCE,,,,,,,,,3,,Yes,Yes,No,,Yes,No,3360,No,,,,1,1,0,0,,Carmen
33,2017-08-07,JA,0,1,Yes,No,No,No,0,2,Blue,No,Yes,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,No,Yes,No,,No,No,3351,No,,,,1,0,0,0,,Carmen
34,2017-08-07,MW,0,0,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,8,NO MATCH,,,,,,,,,,,3,,No,Yes,No,,No,No,3363,No,,,,1,1,0,0,,Carmen
35,2017-08-07,LR/TB,0,0,Yes,Yes,No,No,0,0,Off white crystal,No,Yes,No,No,No,No,2,,Yes,6 (FTIR & RAMAN),KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,Yes,,No,Yes,3352,No,,,,1,1,0,0,,Carmen
36,2017-08-07,CB,0,0,Yes,No,No,No,1,3,,No,Yes,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3495,Yes,0,,,1,1,0,0,,Carmen
37,2017-08-07,CB,0,0,Yes,Yes,No,No,0,3,,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3497,Yes,0,,,1,1,0,0,,Carmen
38,2017-08-07,JE,0,2,Yes,No,No,No,0,0,White Powder in a gel cap.,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3376,No,,,,1,0,0,0,,Carmen
39,2017-08-07,JE,0,2,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3375,No,,,,1,0,0,0,,Carmen
40,2017-08-07,,0,2,Yes,No,No,No,1,1,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3388,No,,,,1,1,0,0,Tester initials missing from sheet. Drug bought in Calgary.,Carmen
41,2017-08-07,,0,2,Yes,No,No,No,1,0,,No,Yes,No,No,No,No,3,,Yes,3,COCAINE,,,7 - PHENACETIN,OTHER,,PHENACETIN,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3387,No,,,,1,1,0,0,Drug bought in Calgary. Tester initials missing from page.,Carmen
42,2017-08-07,JE,0,0,Yes,Yes,No,No,0,0,Brown Crystals,Yes,No,No,No,No,No,0,,Yes,MDMA (CRYSTAL),MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3191,No,,,,1,1,0,0,,Carmen
43,2017-08-07,CB,0,0,Yes,Yes,No,No,1,3,,No,Yes,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3180,Yes,0,,,1,1,0,0,Client states they dont have anymore.,Carmen
44,2017-08-07,HN,0,0,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,7-SAFFEROL,OTHER,,SAFROLE,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3185,No,,,,1,0,0,0,,Carmen
45,2017-08-07,HN,0,0,Yes,No,No,No,0,0,Purple crystals in a gel cap.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,CORNFLOUR,OTHER,,CARBOHYDRATES,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3262,No,,,,,1,,0,,Carmen
46,2017-08-07,HN,0,0,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3187,No,,,,1,0,0,0,,Carmen
47,2017-08-07,HN,0,0,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3186,No,,,,1,1,0,0,,Carmen
48,2017-08-07,,0,1,Yes,No,No,No,0,2,Peach colour with a bumblebee.,Yes,No,No,No,No,No,6,,Yes,8,NO MATCH,,,,,,,,,,,,,,,,,Yes,Yes,No,,No,Yes,3373,No,,,,1,0,1,0,Tester initials missing.,Carmen
49,2017-08-07,KG/AR,0,0,Yes,No,No,No,0,0,Dark Brown Crystals.,No,Yes,No,No,No,No,0,,Yes,MDMA,MDMA,,,MDA,MDA,,,HV-211,OTHER,,HV-211,,,,,5,,Yes,Yes,No,Possible synthetic cannabinoid.,No,Yes,3009,No,,,,1,0,0,2,Client has said they will be responsible and go slow. Drugs brought from Edmonton.,Carmen
50,2017-08-07,AQ KG,0,2,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,"3,4 - MDEA",OTHER,,MDEA,MDA HCL,OTHER,,MDA HCL,,,,,5,,Yes,No,Yes,,No,Yes,3190,No,,,,1,1,0,0,,Carmen
51,2017-08-07,DF,0,2,Yes,No,No,No,3,0,,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,No cuts detected,No,Yes,3386,No,,,,1,1,0,0,Client will also be using drugs with a friend.,Carmen
52,2017-08-07,HN,0,2,Yes,No,No,No,0,0,Black Clubs (BAG),Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,No,Yes,No,,No,No,3389,No,,,,1,1,0,1,,Carmen
53,2017-08-07,KL,0,0,Yes,No,No,No,1,0,White Crystal,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3192,No,,,,1,1,0,0,,Carmen
54,2017-08-08,KG HN,0,2,Yes,No,Yes,No,1,0,White powder in a punk gram bag.,Yes,No,No,No,No,No,,,Yes,COCAINE,COCAINE,,,,,,,,,,,,,,,2,,Yes,No,No,,No,Yes,3067,No,,,,1,1,0,0,,Carmen
55,2017-08-08,KG HN,0,0,Yes,Yes,No,No,0,0,Ketamine - crystal shards.,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,No,3052,No,,,,1,1,0,0,No result marked down for the result of the Fentanyl test.,Carmen
56,2017-08-08,KG HN,0,0,Yes,Yes,No,No,0,0,Dark brown crystals 120 mg caps,No,Yes,No,No,No,No,0,,Yes,CRYTSTAL MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,No,3053,No,,,,1,1,0,0,No result marked down for the result of fentanyl test.,Carmen
57,2017-08-08,KG HN,0,0,Yes,Yes,No,No,0,0,White powder capsule 120 mg,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3054,No,,,,1,1,0,0,,Carmen
58,2017-08-08,HF,0,2,No,No,Yes,No,1,0,Iron cross baggie,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,7 - SEE COMMENT,OTHER,,,,,,,,,,,3,,Yes,Yes,No,Cant be sure of any cuts.,No,Yes,3136,No,,,,1,1,0,7,Other: give it back to friends.,Carmen
59,2017-08-08,TB,0,0,Yes,No,No,No,0,0,Long MSG - like crystals.,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3066,No,,,,1,1,0,0,,Carmen
60,2017-08-08,JD,0,2,Yes,Yes,No,No,0,0,Fine crystals in a gel cap. Carried in a nickle bag- one side blue with gold crowns.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3080,No,,,,1,1,0,0,,Carmen
61,2017-08-08,,0,2,Yes,No,No,No,1,0,"White powder, clear bag.",No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3118,No,,,,1,1,0,0,Testers initials are unledgable.,Carmen
62,2017-08-08,,0,2,Yes,No,No,No,1,0,Purple/crystal clumps. Yellow and black bag.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3117,No,,,,1,0,0,0,Tester initials are unlegable,Carmen
63,2017-08-08,HF,0,0,Yes,No,No,No,1,0,"""Cocaine"" powder, white tied baggy.",Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3119,No,,,,1,1,0,0,,Carmen
64,2017-08-08,HF,0,2,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3441,No,,,,1,1,0,0,Will also be taking the drugs with a friend,Carmen
65,2017-08-08,HF,0,2,Yes,No,No,No,0,0,Chocolate brown rock.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3114,No,,,,1,1,0,7,Plans to share with others.,Carmen
66,2017-08-08,LP,0,0,Yes,No,No,No,0,5,,No,Yes,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3270,Yes,0,,,1,1,0,0,,Carmen
67,2017-08-08,LP,0,2,Yes,Yes,No,No,0,2,Tie Die (acid trip effect) in a MJ inked baggy,No,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,2,No,No,No,,No,No,3097,Yes,0,,,1,1,0,0,,Carmen
68,2017-08-08,LP,0,2,Yes,Yes,No,No,0,3,,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,2,No,No,No,,No,No,3096,Yes,0,,,1,1,0,0,,Carmen
69,2017-08-08,CB,0,0,Yes,No,No,No,1,0,White powder tied in clar bag.,No,Yes,No,No,No,No,3,,Yes,3,COCAINE,,,7,OTHER,INOSITOL,INOSITOL,,,,,,,,,5,,Yes,Yes,No,,No,Yes,3305,Yes,,,,1,1,0,0,No results marked for colorimetric testing.,Carmen
70,2017-08-08,,0,0,Yes,Yes,No,No,0,0,Chunky rock form normal ziplock medium bag.,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3041,No,,,,,,,,,Carmen
71,2017-08-08,,0,0,Yes,Yes,No,No,1,1,White powder,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3021,No,,,,1,1,0,0,Tester initials are unlegable.,Carmen
72,2017-08-08,,0,2,No,Yes,No,No,1,0,Small crystal - purple bag.,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,5,,Yes,Yes,No,,No,Yes,3418,No,,,,1,1,0,0,,Carmen
73,2017-08-08,MD,0,2,Yes,No,No,No,1,1,Caps - off white.,Yes,No,No,No,No,No,0,,Yes,,,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3421,No,,,,1,1,0,0,No results marked down for the Raman test.,Carmen
74,2017-08-08,MD,0,2,Yes,Yes,No,No,1,0,MDMA... I hope,No,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3422,No,,,,1,1,0,0,,Carmen
75,2017-08-08,MD,0,2,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,3,,Yes,,,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3738,No,,,,1,1,0,0,No results of the Raman test marked down.,Carmen
76,2017-08-08,LP,0,0,Yes,No,No,No,0,1,Gel cap with white powder,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,2,MDA,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3682,No,,,,1,1,,,,Carmen
77,2017-08-06,MD,0,1,Yes,No,No,No,0,0,White Crystals chunks.,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3721,No,,,,1,1,0,0,,Carmen
78,2017-08-08,MD,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3740,No,,,,1,1,0,0,,Carmen
79,2017-08-08,MD,0,0,Yes,No,No,No,0,,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,2,MDA,,,,,,,,,,,5,,No,No,Yes,,No,No,3709,No,,,,1,1,0,0,Go Eric!,Carmen
80,2017-08-08,MD,0,0,Yes,Yes,No,No,0,0,In a gel cap.,Yes,No,No,No,No,No,0,,Yes,,,,,,,,,,,,,,,,,5,,Yes,No,Yes,No results noted for the raman test.,No,Yes,3197,No,,,,1,1,0,0,,Carmen
81,2017-08-08,MD,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,,,,,,,,,,,,,,,,,5,,Yes,No,Yes,No results writen down for the raman test.,No,Yes,3286,No,,,,1,1,,0,,Carmen
82,2017-08-08,MD,0,0,Yes,No,No,No,0,0,Greenish crystals.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3284,No,,,,1,1,0,0,,Carmen
83,2017-08-08,MM,0,0,Yes,No,No,No,0,0,light brown crystals.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3288,No,,,,1,1,0,0,,Carmen
84,2017-08-08,MD,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,3,,Yes,3,COCAINE,,,7,OTHER,EPHEDRINE,EPHEDRINE,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3285,No,,,,1,1,0,0,,Carmen
85,2017-08-08,ROVT,0,2,No,Yes,No,No,0,0,,No,Yes,No,No,No,No,3,,Yes,COCAINE,COCAINE,,,PHENACETINE,OTHER,,PHENACETIN,,,,,,,,,4,10,Yes,Yes,No,cocaine/phenacetine.,No,Yes,3580,No,,,,1,1,0,0,,Carmen
86,2017-08-08,LP,0,2,Yes,No,No,No,1,0,,Yes,No,No,No,No,No,0,,No,,,,,,,,,,,,,,,,,,,Yes,No,No,,No,Yes,3571,No,,,,1,1,0,0,,Carmen
87,2017-08-08,JD,0,0,Yes,No,No,No,1,1,,Yes,No,No,No,No,No,0,,No,,,,,,,,,,,,,,,,,,,Yes,No,No,,No,Yes,3134,No,,,,1,1,0,0,,Carmen
88,2017-08-08,JG,0,2,Yes,Yes,No,No,1,1,Gel cap with white powder.,Yes,No,No,No,No,No,0,,No,,,,,,,,,,,,,,,,,,1,No,No,No,,No,No,3239,No,,,,1,1,0,0,No test results written down.,Carmen
89,2017-08-08,JG,0,2,Yes,Yes,No,No,0,3,Colored abstract design.,No,Yes,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3570,Yes,0,,,1,1,0,0,,Carmen
90,2017-08-08,RH,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,MITOTANE,OTHER,,MITOTANE,,,,,,,,,4,,Yes,Yes,No,Unidentified cutting agent up to 25%,No,Yes,3599,No,,,,1,,,,,Carmen
91,2017-08-08,RH,0,2,Yes,Yes,No,No,1,1,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3569,No,,,,1,1,0,2,,Carmen
92,2017-08-08,,0,0,Yes,No,No,No,0,1,Blue and white capsule.,No,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3543,No,,,,1,1,0,0,No tester initial.,Carmen
93,2017-08-08,,0,2,Yes,No,No,No,1,3,In foil.,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3416,No,,,,1,1,0,0,Unable to read tester initial.,Carmen
94,2017-08-08,AGB,0,0,Yes,Yes,No,No,1,3,Black colourful lines no pattern.,No,Yes,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3022,No,,,,1,1,0,0,,Carmen
95,2017-08-08,RCB,0,0,Yes,Yes,No,No,1,3,Yellowish wiht lines and dots.,No,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3023,Yes,0,,,1,1,0,0,,Carmen
96,2017-08-08,KG,0,2,Yes,No,No,No,0,3,,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3410,Yes,0,,,1,1,0,0,,Carmen
97,2017-08-08,RG,0,1,Yes,No,No,No,0,3,,Yes,No,No,No,No,No,1,,No,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,3723,Yes,0,,,1,1,0,0,,Carmen
